# total=231 split_at=58 tabelas_lidas=231
0	001 - EQUIPMENT_ADDON	84
1	002 - WEAPON_MAJOR_TYPE	68
2	003 - WEAPON_SUB_TYPE	356
3	004 - WEAPON_ESSENCE	1556
4	005 - ARMOR_MAJOR_TYPE	68
5	006 - ARMOR_SUB_TYPE	72
6	007 - ARMOR_ESSENCE	1132
7	008 - DECORATION_MAJOR_TYPE	68
8	009 - DECORATION_SUB_TYPE	72
9	010 - DECORATION_ESSENCE	1172
10	011 - MEDICINE_MAJOR_TYPE	68
11	012 - MEDICINE_SUB_TYPE	68
12	013 - MEDICINE_ESSENCE	376
13	014 - MATERIAL_MAJOR_TYPE	68
14	015 - MATERIAL_SUB_TYPE	68
15	016 - MATERIAL_ESSENCE	368
16	017 - DAMAGERUNE_SUB_TYPE	68
17	018 - DAMAGERUNE_ESSENCE	364
18	019 - ARMORRUNE_SUB_TYPE	68
19	020 - ARMORRUNE_ESSENCE	624
20	021 - SKILLTOME_SUB_TYPE	68
21	022 - SKILLTOME_ESSENCE	348
22	023 - FLYSWORD_ESSENCE	776
23	024 - WINGMANWING_ESSENCE	488
24	025 - TOWNSCROLL_ESSENCE	348
25	026 - UNIONSCROLL_ESSENCE	348
26	027 - REVIVESCROLL_ESSENCE	352
27	028 - ELEMENT_ESSENCE	348
28	029 - TASKMATTER_ESSENCE	208
29	030 - TOSSMATTER_ESSENCE	888
30	031 - PROJECTILE_TYPE	68
31	032 - PROJECTILE_ESSENCE	892
32	033 - QUIVER_SUB_TYPE	68
33	034 - QUIVER_ESSENCE	340
34	035 - STONE_SUB_TYPE	68
35	036 - STONE_ESSENCE	476
36	037 - MONSTER_ADDON	84
37	038 - MONSTER_TYPE	196
38	039 - MONSTER_ESSENCE	1664
39	040 - NPC_TALK_SERVICE	72
40	041 - NPC_SELL_SERVICE	4392
41	042 - NPC_BUY_SERVICE	72
42	043 - NPC_REPAIR_SERVICE	72
43	044 - NPC_INSTALL_SERVICE	200
44	045 - NPC_UNINSTALL_SERVICE	200
45	046 - NPC_TASK_IN_SERVICE	1092
46	047 - NPC_TASK_OUT_SERVICE	1124
47	048 - NPC_TASK_MATTER_SERVICE	644
48	049 - NPC_SKILL_SERVICE	1096
49	050 - NPC_HEAL_SERVICE	72
50	051 - NPC_TRANSMIT_SERVICE	460
51	052 - NPC_TRANSPORT_SERVICE	328
52	053 - NPC_PROXY_SERVICE	72
53	054 - NPC_STORAGE_SERVICE	68
54	055 - NPC_MAKE_SERVICE	1228
55	056 - NPC_DECOMPOSE_SERVICE	72
56	057 - NPC_TYPE	68
57	058 - NPC_ESSENCE	880
58	059 - TALK_PROC	None
59	060 - FACE_TEXTURE_ESSENCE	480
60	061 - FACE_SHAPE_ESSENCE	348
61	062 - FACE_EMOTION_TYPE	196
62	063 - FACE_EXPRESSION_ESSENCE	336
63	064 - FACE_HAIR_ESSENCE	472
64	065 - FACE_MOUSTACHE_ESSENCE	340
65	066 - COLORPICKER_ESSENCE	208
66	067 - CUSTOMIZEDATA_ESSENCE	332
67	068 - RECIPE_MAJOR_TYPE	68
68	069 - RECIPE_SUB_TYPE	68
69	070 - RECIPE_ESSENCE	428
70	071 - ENEMY_FACTION_CONFIG	196
71	072 - CHARRACTER_CLASS_CONFIG	208
72	073 - PARAM_ADJUST_CONFIG	676
73	074 - PLAYER_ACTION_INFO_CONFIG	616
74	075 - TASKDICE_ESSENCE	512
75	076 - TASKNORMALMATTER_ESSENCE	344
76	077 - FACE_FALING_ESSENCE	340
77	078 - PLAYER_LEVELEXP_CONFIG	668
78	079 - MINE_TYPE	68
79	080 - MINE_ESSENCE	560
80	081 - NPC_IDENTIFY_SERVICE	72
81	082 - FASHION_MAJOR_TYPE	68
82	083 - FASHION_SUB_TYPE	72
83	084 - FASHION_ESSENCE	736
84	085 - FACETICKET_MAJOR_TYPE	68
85	086 - FACETICKET_SUB_TYPE	68
86	087 - FACETICKET_ESSENCE	488
87	088 - FACEPILL_MAJOR_TYPE	68
88	089 - FACEPILL_SUB_TYPE	68
89	090 - FACEPILL_ESSENCE	3436
90	091 - SUITE_ESSENCE	292
91	092 - GM_GENERATOR_TYPE	68
92	093 - GM_GENERATOR_ESSENCE	344
93	094 - PET_TYPE	68
94	095 - PET_ESSENCE	684
95	096 - PET_EGG_ESSENCE	628
96	097 - PET_FOOD_ESSENCE	360
97	098 - PET_FACETICKET_ESSENCE	344
98	099 - FIREWORKS_ESSENCE	480
99	100 - WAR_TANKCALLIN_ESSENCE	344
100	101 - NPC_WAR_TOWERBUILD_SERVICE	148
101	102 - PLAYER_SECONDLEVEL_CONFIG	1092
102	103 - NPC_RESETPROP_SERVICE	368
103	104 - NPC_PETNAME_SERVICE	76
104	105 - NPC_PETLEARNSKILL_SERVICE	584
105	106 - NPC_PETFORGETSKILL_SERVICE	76
106	107 - SKILLMATTER_ESSENCE	356
107	108 - REFINE_TICKET_ESSENCE	444
108	109 - DESTROYING_ESSENCE	344
109	110 - NPC_EQUIPBIND_SERVICE	92
110	111 - NPC_EQUIPDESTROY_SERVICE	76
111	112 - NPC_EQUIPUNDESTROY_SERVICE	76
112	113 - BIBLE_ESSENCE	392
113	114 - SPEAKER_ESSENCE	348
114	115 - AUTOHP_ESSENCE	356
115	116 - AUTOMP_ESSENCE	356
116	117 - DOUBLE_EXP_ESSENCE	348
